,,,,,,
Navn,Sol hele dagen,Fra,Til,Kommentar,lat,lon
Ling Ling,Nei,,20:00,Til 20:00,59.908805081839205,10.72603327661516
Restaurant Ludo,Nei,17:00,20:00,,59.92691137838126,10.724185045395048
Cafe Fiasco AS,Nei,,,Noen timer utover ettermiddagen,59.912686987372695,10.75514823059034
Velochef Club House,Nei,14:00,18:00,Muligens under tak,59.91707168993105,10.75657851525095
xef tjuvholmen,Nei,17:00,,Til solen går ne,59.90896463100578,10.721595930587807
Vesper Bar,Nei,15:00,21:00,til 1930/21:00,59.90791187927645,10.760558537984474
Tolvte og Kranen,Ja,,,Takterasse i 12 etasje,59.90675984273543,10.75588113798348
Brasserie Rivoli,Nei,14:00,,Ut kvelden,59.90698920065765,10.755766407298932
Sentralen Mat,Nei,10:00,19:00,,59.911542622999875,10.740142915247189
Baker Hansen Frogner,Nei,,12:00,Fra morgenen,59.91709418958111,10.71604848456607
Frognerseteren Restaurant,Ja,,,,59.978061624650124,10.677208169266018
Pust Kaffebar,Nei,14:00,,Fra lunch og ut,69.65250697440369,18.960556937671356
Katla Oslo,Nei,,20:00,Ikke starttidspunkt,59.916986567619404,10.738276753881072
Arts Restaurant,Nei,13:00,20:00,2 sider,59.91030664366404,10.722667430588706
Restaurant Salome,Nei,,19:00,Fra morgen,59.90853981900467,10.753911684560101
Nedre Foss Gård,Ja,,,"Servering 1 til kl 15, servering 2 til 21:00",59.92264918690792,10.75372867662482
Kolonialen Bislett,Nei,,13:00,Ikke noe etter 13. Donno fra når,59.923011714461424,10.735601654698057
Food Family,Nei,14:00,18:00,Fra lunch til 18.,59.91419818542781,10.774193561276602
Tjuvholmen Sjømagasin,Nei,,20:00,,59.90824283988914,10.721821399902344
Duckpin,Nei,,17:00,,59.91750225247099,10.752844422648492
The Salmon,Nei,,19:00,Donno start,59.908409889856976,10.723458353327228
Mirabel Oslo,Nei,15:00,,Fra 15. thats it,59.90299462970934,10.752069107296073
Restauranthuset Operaen,Ja,,,,59.90789425608089,10.752466030587177
Cultivate Food,Nei,12:30,,Til solen går ned,59.92507173927842,10.759125453886613
